respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.2014032732967516,0.3483732433144199
26708,0.0365985060690943,0.07145091428179663
26709,0.25415426150217174,0.7960933557183558
26710,0.5468666416933207,0.8778508311492113
26711,0.319120883267435,0.4578607179857182
26712,0.7251017291675182,0.8979830442977504
26713,0.31361077249592184,0.6265322490561851
26714,0.16984499759499763,0.18128562519837219
26715,0.03222340686775671,0.10653764904713672
26716,0.1899290107877827,0.8152607679067952
26717,0.0522411617653553,0.4168171811848283
26718,0.30080113536411485,0.5481131752234695
26719,0.16179588929588928,0.8506989781555
26720,0.02672995522995523,0.1919733212396884
26721,0.36508365708365714,0.5180052807815967
26722,0.05971822066822066,0.15015521515521518
26723,0.7096442658580854,0.8385366873728359
26724,0.017557504018030336,0.7342298215658195
26725,0.01631074481074481,0.09854175068710673
26726,0.08527398989898989,0.09792705247968404
26727,0.45017084002073393,0.8362563980023926
26728,0.3054036856862946,0.554423677956031
26729,0.2184049018614236,0.409346205251004
26730,0.0535110297110297,0.21294385614385614
26731,0.06309385063137599,0.3404350872912254
26732,0.17749424308634834,0.24102386453702251
26733,0.8872992734389794,0.9325347838060818
26734,0.6408708381018724,0.4781491748991748
26735,0.06331745408375843,0.3233653632326712
26736,0.060635099306151935,0.15646733042785677
26737,0.07322920150339506,0.1695641580641581
26738,0.6966919284419283,0.7414728434906456
26739,0.07347675392934012,0.1948809969276721
26740,0.17848875038005477,0.20707753820253827
26741,0.10406974506974505,0.8774788391862696
26742,0.059750969400969405,0.3481893203414943
26743,0.08726634724805458,0.3419570013320013
26744,0.09495193535710769,0.6951094531829827
26745,0.12760618085618086,0.8022574556134152
26746,0.15947794109387017,0.29567644652401687
26747,0.02656216931216931,0.15397225070251383
26748,0.0808340053192994,0.1711110648610648
26749,0.11655266955266953,0.6141839459302305
26750,0.4679713691897043,0.8785147280932477
26751,0.5094636407773209,0.7491134152693765
26752,0.10254261914556032,0.17887527940469122
26753,0.233944232667917,0.5282702744273153
26754,0.2425484237984238,0.5052202704702704
26755,0.1344315129315129,0.4659604327573434
26756,0.04572089947089947,0.0854616402116402
26757,0.2708245604298236,0.5131828079328078
26758,0.46816053853553874,0.772511868124613
26759,0.011316682228446935,0.14569664692033116
26760,0.05533668401315459,0.1572990810187404
26761,0.3506525967807481,0.6293554103968448
26762,0.2016914196914197,0.7383656941671677
26763,0.7839401263768911,0.9039776334776335
26764,0.7912940254190256,0.91096349021349
26765,0.18026345441051325,0.5712545387525105
26766,0.19394881969881964,0.17291894168209965
26767,0.7545317371846411,0.6700137768005413
26768,0.09612322862322863,0.37834715393538904
26769,0.11739634439634432,0.30515823528323527
26770,0.09684675704412547,0.5049832389832392
26771,0.0681372053872054,0.30469034587416943
26772,0.11399116507162485,0.46717772334877605
26773,0.1372858492270257,0.35638738059326286
26774,0.07692191142191143,0.3817540798984297
26775,0.05867514430014429,0.4174890164301929
26776,0.3809232940262353,0.3804142755392757
26777,0.18784235772279256,0.7062556378806379
26778,0.12162097162097162,0.10602059884559885
26779,0.23339475269686272,0.6131547016952699
26780,0.1730888923726758,0.8284254835341791
26781,0.14403329359851105,0.4081055267863015
26782,0.09630048397881212,0.3071770327625591
26783,0.03097404447404447,0.17503886600442328
26784,0.2581442983345158,0.7593843828285001
26785,0.42678501020851856,0.6847075210043748
26786,0.06922529322529321,0.22332538104596936
26787,0.05558015826436879,0.5583167714331565
26788,0.0898407287157287,0.8295172145276388
26789,0.06610102592339434,0.28881747265080604
26790,0.023340782511835148,0.16584058916817543
26791,0.043232755462631625,0.08427175738205149
26792,0.09370621045621044,0.6261433407473324
26793,0.17882288921826966,0.9169531532289632
26794,0.42485874718962946,0.7803937928703338
26795,0.22264801426643535,0.7631498778998779
26796,0.04974626299626299,0.08218033491562907
26797,0.2910278456609101,0.5843590761090761
26798,0.3654773806440472,0.3146490823990825
26799,0.2936865748630455,0.39245108944103324
26800,0.1213777570595393,0.912244380787633
26801,0.1893169258502076,0.3370064148814149
26802,0.05297510822510823,0.20102442608477106
26803,0.061350316350316354,0.21378742359752603
26804,0.06416229603729606,0.11959903984903979
